Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
24,Dez Bryant\BryaDe01,DAL,29,WR,16,16,132,69,52.3%,838,12.1,6,50,4.3,52.4,1
25,Rob Gronkowski*+\GronRo00,NWE,28,TE,14,14,105,69,65.7%,1084,15.7,8,53,4.9,77.4,1
26,Mohamed Sanu\SanuMo00,ATL,28,WR,15,15,96,67,69.8%,703,10.5,5,25,4.5,46.9,0
27,Randall Cobb\CobbRa00,GNB,27,WR,15,14,92,66,71.7%,653,9.9,4,46,4.4,43.5,1
28,Jamison Crowder\CrowJa00,WAS,24,wr,15,6,103,66,64.1%,789,12.0,3,41,4.4,52.6,6
29,Brandin Cooks\CookBr00,NWE,24,WR,16,15,114,65,57.0%,1082,16.6,7,64,4.1,67.6,0
30,Jermaine Kearse\KearJe01,NYJ,27,WR,16,14,102,65,63.7%,810,12.5,5,51,4.1,50.6,1
31,Stefon Diggs\DiggSt00,MIN,24,WR,14,14,95,64,67.4%,849,13.3,8,59,4.6,60.6,0
32,Evan Engram\EngrEv00,NYG,23,TE,15,11,115,64,55.7%,722,11.3,6,35,4.3,48.1,0
33,Todd Gurley*+\GurlTo01,LAR,23,RB,15,15,87,64,73.6%,788,12.3,6,80,4.3,52.5,5
34,Robby Anderson\AndeRo04,NYJ,24,WR,16,15,114,63,55.3%,941,14.9,7,69,3.9,58.8,0
35,Devin Funchess\FuncDe00,CAR,23,WR,16,16,111,63,56.8%,840,13.3,8,44,3.9,52.5,0
36,Jason Witten*\WittJa00,DAL,35,TE,16,16,87,63,72.4%,560,8.9,5,28,3.9,35.0,1
37,Nelson Agholor\AghoNe00,PHI,24,WR,16,10,95,62,65.3%,768,12.4,8,72,3.9,48.0,0
38,Cooper Kupp\KuppCo00,LAR,24,wr,15,6,94,62,66.0%,869,14.0,5,64,4.1,57.9,1
39,Danny Amendola\AmenDa00,NWE,32,WR,15,8,86,61,70.9%,659,10.8,2,27,4.1,43.9,2
40,Adam Humphries\HumpAd00,TAM,24,wr,16,3,83,61,73.5%,631,10.3,1,43,3.8,39.4,1
41,Marvin Jones\JoneMa02,DET,27,WR,16,16,107,61,57.0%,1101,18.0,9,58,3.8,68.8,0
42,Ben Watson\WatsBe00,BAL,37,TE,16,12,79,61,77.2%,522,8.6,4,33,3.8,32.6,1
43,Carlos Hyde\HydeCa00,SFO,27,RB,16,16,88,59,67.0%,350,5.9,0,18,3.7,21.9,2
44,LeSean McCoy*\McCoLe01,BUF,29,RB,16,16,77,59,76.6%,448,7.6,2,39,3.7,28.0,3
45,Sterling Shepard\ShepSt00,NYG,24,WR,11,10,84,59,70.2%,731,12.4,2,77,5.4,66.5,1
46,Kendall Wright\WrigKe01,CHI,28,wr,16,4,91,59,64.8%,614,10.4,1,22,3.7,38.4,0
47,Michael Crabtree\CrabMi00,OAK,30,WR,14,14,101,58,57.4%,618,10.7,8,41,4.1,44.1,1
48,Melvin Gordon\GordMe00,LAC,24,RB,16,16,83,58,69.9%,476,8.2,4,49,3.6,29.8,1
49,Mark Ingram*\IngrMa01,NOR,28,RB,16,13,71,58,81.7%,416,7.2,0,54,3.6,26.0,3
